group,category,code,name_df,name,source,frequency,original,transf,days_lag,where
0,Production,22099,gdp,Quarterly GDP (market prices) - observed data,IBGE,Q,Index,pctchg_12,63,SGS-BCB
0,Production,24363,ibc_br,Central Bank Economic Activity Index - IBC-Br,BCB,M,Index,diff_12,52,SGS-BCB
0,Production,4380,mon_gdp,GDP monthly - current prices (R$ million)	,BCB,M,R$,diff_12,48,SGS-BCB
0,Production,21859,ind_prod,Industrial output indicators (2012 = 100) - General,IBGE,M,Index,diff_12,30,SGS-BCB
0,Production,21861,ind_prod_ext,Industrial output indicators (2012 = 100) - Physical Production - Mineral extraction,IBGE,M,Index,diff_12,30,SGS-BCB
0,Production,21862,ind_prod_transf,Industrial output indicators (2012 = 100) - Physical Production - Manufacturing industry,IBGE,M,Index,diff_12,30,SGS-BCB
0,Production,21863,ind_cap_goods,Industrial output indicators (2012 = 100) - Physical Production - Capital goods,IBGE,M,Index,diff_12,30,SGS-BCB
0,Production,21864,ind_prod_int_goods,Industrial output indicators (2012 = 100) - Physical Production - Intermediate goods,IBGE,M,Index,diff_12,30,SGS-BCB
0,Production,21865,ind_prod_man,Industrial output indicators (2012 = 100) - Physical Production - Consumer goods,IBGE,M,Index,diff_12,30,SGS-BCB
0,Production,21866,ind_prod_dur_goods,Industrial output indicators (2012 = 100) - Physical Production - Durable goods,IBGE,M,Index,diff_12,30,SGS-BCB
0,Production,21867,ind_prod_nondur_goods,Industrial output indicators (2012 = 100) - Physical Production - Semidurable and nondurable goods,IBGE,M,Index,diff_12,30,SGS-BCB
0,Production,21868,ind_prod_cc_materials,Industrial output indicators (2012 = 100) - Physical Production - Production of construction inputs,IBGE,M,Index,diff_12,30,SGS-BCB
0,Production,1338,ind_real_sales,Real industrial sales (1992=100) - Manufacturing industry,CNI ,M,Index,diff_12,32,SGS-BCB
0,Production,1373,vehi_prod,Vehicles production (total),Anfavea,M,Units,diff_12,6,SGS-BCB
0,Production,1374,pass_cars_prod,Passenger cars and light commercial vehicles production,Anfavea,M,Units,diff_12,6,SGS-BCB
0,Production,1375,truck_prod,Truck production	,Anfavea,M,Units,diff_12,6,SGS-BCB
0,Production,1376,bus_prod,Bus production,Anfavea,M,Units,diff_12,6,SGS-BCB
0,Production,None,nuci_gv,Level of Installed Capacity Utilization (NUCI),FGV,M,Percentage,diff_12,-1,FGVDados
0,Production,7357,steel_prod,Steel production (1992=100),BCB-Depec,M,Index,diff_12,20,SGS-BCB
0,Production,28553,road_flow_gross_vehi,Heavy vehicle traffic on toll roads - ABCR,BCB-Depec,M,Index,diff_diff_12,10,SGS-BCB
1,Labor Market,24349,wage_mass_ind,Real total payroll – manufacturing industry (2006=100),CNI ,M,Index,diff_12,7,SGS-BCB
1,Labor Market,28763,new_caged,Registered employess by economic activity - Total,ME/MT,M,Units,diff_diff_12,21,SGS-BCB
1,Labor Market,28764,caged_agro,Registered employess by economic activity – Agriculture and livestock,ME/MT,M,Units,diff_12,21,SGS-BCB
1,Labor Market,28765,caged_ind_ext,Registered employess by economic activity – Mining industry,ME/MT,M,Units,diff_diff,21,SGS-BCB
1,Labor Market,28766,caged_ind_transf,Registered employess by economic activity – Manufacturing industry,ME/MT,M,Units,diff_diff_12,21,SGS-BCB
1,Labor Market,28770,caged_const,Registered employess by economic activity – Construction,ME/MT,M,Units,diff_diff_12,21,SGS-BCB
1,Labor Market,28771,caged_com,Registered employess by economic activity – Commerce,ME/MT,M,Units,diff_diff_12,21,SGS-BCB
1,Labor Market,28772,caged_servi,Registered employess by economic activity – Services,ME/MT,M,Units,diff_diff_12,21,SGS-BCB
